timestamp,episode,step,equity,drawdown
2026-04-18T16:25:11.367560+00:00,1,50,9997.81,0.0215
2026-04-18T16:25:38.081267+00:00,1,100,9996.69,0.0327
2026-04-18T16:26:04.900533+00:00,1,150,9951.18,0.4878
2026-04-18T16:26:31.827611+00:00,1,200,9871.47,1.2848
2026-04-18T16:26:59.209081+00:00,1,250,9527.43,4.7253
2026-04-18T16:27:30.154346+00:00,1,300,9467.09,5.3287
2026-04-18T16:27:57.194163+00:00,1,350,9370.88,6.2908
2026-04-18T16:28:24.166174+00:00,1,400,9368.96,6.31
2026-04-18T16:28:51.173228+00:00,1,450,9367.66,6.323
2026-04-18T16:29:18.059521+00:00,1,500,9282.5,7.1746
2026-04-18T16:29:45.462524+00:00,1,550,9299.89,7.0007
2026-04-18T16:30:12.855652+00:00,1,600,9273.43,7.2653
2026-04-18T16:30:39.850090+00:00,1,650,9273.75,7.2621
2026-04-18T16:31:06.595657+00:00,1,700,9270.39,7.2957
2026-04-18T16:31:33.439573+00:00,1,750,9271.13,7.2883
2026-04-18T16:32:00.441623+00:00,1,800,9271.58,7.2838
2026-04-18T16:32:27.621682+00:00,1,850,9271.28,7.2868
2026-04-18T16:32:54.847469+00:00,1,900,9240.15,7.5981
2026-04-18T16:33:31.687544+00:00,1,950,9122.75,8.7721
2026-04-18T16:33:58.814741+00:00,1,1000,8947.19,10.5277
2026-04-18T16:34:26.002633+00:00,1,1050,8836.96,11.6301
2026-04-18T16:34:53.148661+00:00,1,1100,8771.06,12.289
2026-04-18T16:35:20.590565+00:00,1,1150,8902.41,10.9756
2026-04-18T16:35:47.764827+00:00,1,1200,8901.9,10.9807
2026-04-18T16:36:14.907873+00:00,1,1250,8904.12,10.9584
2026-04-18T16:36:42.145841+00:00,1,1300,8905.46,10.945
2026-04-18T16:37:09.148874+00:00,1,1350,8697.93,13.0203
2026-04-18T16:37:42.719658+00:00,2,50,9947.31,1.294
2026-04-18T16:38:09.984228+00:00,2,100,10348.69,1.9488
2026-04-18T16:38:38.041353+00:00,2,150,10119.77,5.8989
2026-04-18T16:39:05.744597+00:00,2,200,10792.74,0.1377
2026-04-18T16:39:32.765927+00:00,2,250,10608.06,2.0979
2026-04-18T16:39:59.584680+00:00,2,300,10671.49,2.5844
2026-04-18T16:40:26.702393+00:00,2,350,11286.3,0.0
2026-04-18T16:40:53.753444+00:00,2,400,11129.75,1.3871
2026-04-18T16:41:30.824402+00:00,2,450,11128.78,1.3956
2026-04-18T16:41:57.331985+00:00,2,500,11123.86,1.4393
2026-04-18T16:42:24.839542+00:00,2,550,11123.41,1.4433
2026-04-18T16:42:52.427052+00:00,2,600,10962.99,2.8646
2026-04-18T16:43:19.639608+00:00,2,650,10740.1,4.8395
2026-04-18T16:43:56.792404+00:00,2,700,10655.57,5.5885
2026-04-18T16:44:23.988309+00:00,2,750,10653.56,5.6063
2026-04-18T16:44:50.865535+00:00,2,800,10653.25,5.609
2026-04-18T16:45:17.450543+00:00,2,850,10650.75,5.6312
2026-04-18T16:45:44.252320+00:00,2,900,10572.04,6.3285
2026-04-18T16:46:11.539566+00:00,2,950,9953.41,11.8098
2026-04-18T16:46:38.860284+00:00,2,1000,9938.31,11.9436
2026-04-18T16:47:05.677502+00:00,2,1050,9936.61,11.9586
2026-04-18T16:47:32.558818+00:00,2,1100,9938.27,11.9439
2026-04-18T16:47:59.938170+00:00,2,1150,9945.47,11.8802
2026-04-18T16:48:27.168673+00:00,2,1200,9900.17,12.2815
2026-04-18T16:48:54.340608+00:00,2,1250,10548.79,6.5345
2026-04-18T16:49:21.168378+00:00,2,1300,10633.45,5.7845
2026-04-18T16:49:48.359742+00:00,2,1350,10713.62,5.0741
2026-04-18T16:50:15.518210+00:00,2,1400,10707.47,5.1286
2026-04-18T16:50:42.576431+00:00,2,1450,10520.49,6.7853
2026-04-18T16:51:09.789648+00:00,2,1500,10208.64,9.5484
2026-04-18T16:51:36.692011+00:00,2,1550,10132.83,10.2201
2026-04-18T16:52:03.923854+00:00,2,1600,9744.98,13.6566
2026-04-18T16:52:38.568640+00:00,3,50,9980.96,11.5657
2026-04-18T16:53:05.427710+00:00,3,100,9976.8,11.6026
2026-04-18T16:53:32.508990+00:00,3,150,9977.66,11.5949
2026-04-18T16:53:59.680937+00:00,3,200,10118.85,10.3439
2026-04-18T16:54:26.311743+00:00,3,250,9914.23,12.157
2026-04-18T16:54:52.939541+00:00,3,300,9723.38,13.8479
2026-04-18T16:55:19.469797+00:00,3,350,9560.46,15.2914
2026-04-18T16:55:46.136091+00:00,3,400,9472.68,16.0692
2026-04-18T16:56:12.913812+00:00,3,450,9404.21,16.6758
2026-04-18T16:56:39.683172+00:00,3,500,9306.78,17.5392
2026-04-18T16:57:06.172599+00:00,3,550,9199.2,18.4924
2026-04-18T16:57:32.823538+00:00,3,600,9159.81,18.8414
2026-04-18T16:57:59.154799+00:00,3,650,9104.05,19.3354
2026-04-18T16:58:25.799553+00:00,3,700,9133.28,19.0764
2026-04-18T16:58:52.613574+00:00,3,750,9349.8,17.158
2026-04-18T16:59:19.326086+00:00,3,800,9324.96,17.3781
2026-04-18T16:59:45.853217+00:00,3,850,9287.31,17.7117
2026-04-18T17:00:12.733172+00:00,3,900,9287.37,17.7111
2026-04-18T17:00:39.749556+00:00,3,950,9295.34,17.6404
2026-04-18T17:01:06.915968+00:00,3,1000,9299.43,17.6043
2026-04-18T17:01:33.815647+00:00,3,1050,9303.23,17.5706
2026-04-18T17:02:00.818254+00:00,3,1100,9305.96,17.5464
2026-04-18T17:02:36.987552+00:00,3,1150,9279.87,17.7776
2026-04-18T17:03:03.229207+00:00,3,1200,9011.06,20.1593
2026-04-18T17:03:29.936971+00:00,3,1250,9025.94,20.0274
2026-04-18T17:03:56.697307+00:00,3,1300,9026.29,20.0243
2026-04-18T17:04:23.343668+00:00,3,1350,9035.63,19.9416
2026-04-18T17:04:50.239542+00:00,3,1400,8801.1,22.0196
2026-04-18T17:05:16.888618+00:00,3,1450,8746.29,22.5053
2026-04-18T17:05:43.478027+00:00,3,1500,8636.5,23.478
