timestamp,episode,step,equity,drawdown
2026-04-18T14:49:27.677405+00:00,1,50,4998.54,0.0436
2026-04-18T14:49:30.508357+00:00,1,100,4997.7,0.0604
2026-04-18T14:49:33.205526+00:00,1,150,5000.04,0.0136
2026-04-18T14:49:35.898316+00:00,1,200,4997.91,0.0659
2026-04-18T14:49:38.504913+00:00,1,250,4997.2,0.0801
2026-04-18T14:49:41.312172+00:00,1,300,4992.81,0.1678
2026-04-18T14:49:43.932393+00:00,1,350,4999.82,0.0277
2026-04-18T14:49:46.516277+00:00,1,400,5001.78,0.0287
2026-04-18T14:49:49.099511+00:00,1,450,4986.63,0.3315
2026-04-18T14:49:51.733752+00:00,1,500,4908.31,4.5853
2026-04-18T14:49:54.463506+00:00,1,550,5115.81,0.5516
2026-04-18T14:49:57.200565+00:00,1,600,5016.99,3.4073
2026-04-18T14:49:59.963530+00:00,1,650,4953.92,4.6217
2026-04-18T14:50:02.749733+00:00,1,700,4985.22,4.019
2026-04-18T14:50:05.464618+00:00,1,750,4894.46,5.7663
2026-04-18T14:50:08.284588+00:00,1,800,4890.51,5.8425
2026-04-18T14:50:11.096519+00:00,1,850,4884.99,5.9487
2026-04-18T14:50:13.867582+00:00,1,900,4880.89,6.0276
2026-04-18T14:50:16.603912+00:00,1,950,4880.23,6.0404
2026-04-18T14:50:19.403522+00:00,1,1000,4879.78,6.049
2026-04-18T14:50:22.116522+00:00,1,1050,4857.34,6.4811
2026-04-18T14:50:24.875268+00:00,1,1100,4861.76,6.3959
2026-04-18T14:50:27.641241+00:00,1,1150,4855.76,6.5115
2026-04-18T14:50:30.427805+00:00,1,1200,4465.79,14.0196
2026-04-18T14:50:33.411521+00:00,2,50,4904.56,5.572
2026-04-18T14:50:36.180716+00:00,2,100,4965.0,4.4083
2026-04-18T14:50:38.907516+00:00,2,150,5086.91,2.0612
2026-04-18T14:50:41.690909+00:00,2,200,5015.77,3.4309
2026-04-18T14:50:44.468365+00:00,2,250,4915.04,5.3703
2026-04-18T14:50:47.126710+00:00,2,300,4909.46,5.4776
2026-04-18T14:50:49.793368+00:00,2,350,4846.93,6.6815
2026-04-18T14:50:52.541913+00:00,2,400,4837.85,6.8564
2026-04-18T14:50:55.328768+00:00,2,450,4800.52,7.575
2026-04-18T14:50:57.983600+00:00,2,500,4817.85,7.2413
2026-04-18T14:51:00.715806+00:00,2,550,4817.36,7.2509
2026-04-18T14:51:03.470349+00:00,2,600,4806.64,7.4572
2026-04-18T14:51:06.091377+00:00,2,650,4869.07,6.2553
2026-04-18T14:51:08.843495+00:00,2,700,4868.77,6.261
2026-04-18T14:51:11.531322+00:00,2,750,4980.33,4.1131
2026-04-18T14:51:14.332456+00:00,2,800,4984.09,4.0408
2026-04-18T14:51:25.023490+00:00,2,850,5008.5,3.5708
2026-04-18T14:51:27.753536+00:00,2,900,5052.68,2.7202
2026-04-18T14:51:30.443462+00:00,2,950,5052.85,2.717
2026-04-18T14:51:33.115641+00:00,2,1000,5058.77,2.6029
2026-04-18T14:51:35.952104+00:00,2,1050,5059.25,2.5937
2026-04-18T14:51:38.668350+00:00,2,1100,4964.69,4.4143
2026-04-18T14:51:41.395142+00:00,2,1150,4917.72,5.3187
2026-04-18T14:51:44.083772+00:00,2,1200,4871.44,6.2097
2026-04-18T14:51:46.774854+00:00,2,1250,4778.92,7.9909
2026-04-18T14:51:49.514704+00:00,2,1300,4928.33,5.1144
2026-04-18T14:51:52.222962+00:00,2,1350,4728.74,8.9571
2026-04-18T14:51:54.983479+00:00,2,1400,4602.09,11.3954
2026-04-18T14:51:57.683408+00:00,2,1450,4558.99,12.2252
2026-04-18T14:52:00.392172+00:00,2,1500,4613.98,11.1666
2026-04-18T14:52:03.090357+00:00,2,1550,4613.86,11.1688
2026-04-18T14:52:05.841280+00:00,2,1600,4615.06,11.1457
2026-04-18T14:52:08.468288+00:00,2,1650,4610.87,11.2264
2026-04-18T14:52:11.135815+00:00,2,1700,4531.79,12.749
2026-04-18T14:52:13.811373+00:00,2,1750,4473.96,13.8624
2026-04-18T14:52:16.499048+00:00,2,1800,4474.32,13.8554
2026-04-18T14:52:19.249684+00:00,2,1850,4472.9,13.8828
2026-04-18T14:52:22.180973+00:00,3,50,4472.19,13.8964
2026-04-18T14:52:24.807848+00:00,3,100,4905.91,5.5459
2026-04-18T14:52:27.431930+00:00,3,150,4823.05,7.1412
2026-04-18T14:52:29.917157+00:00,3,200,4561.88,12.1697
2026-04-18T14:52:32.632100+00:00,3,250,4604.32,11.3526
2026-04-18T14:52:35.268999+00:00,3,300,4546.11,12.4733
2026-04-18T14:52:37.899427+00:00,3,350,4454.63,14.2346
2026-04-18T14:52:40.519441+00:00,3,400,4406.62,15.1589
2026-04-18T14:52:43.761262+00:00,4,50,4693.61,9.6335
2026-04-18T14:52:46.504018+00:00,4,100,4563.25,12.1432
2026-04-18T14:52:49.199371+00:00,4,150,4556.57,12.2718
2026-04-18T14:52:51.920623+00:00,4,200,4501.86,13.3252
2026-04-18T14:52:54.545655+00:00,4,250,4946.19,4.7705
2026-04-18T14:52:57.167760+00:00,4,300,4453.68,14.2528
2026-04-18T14:53:00.528149+00:00,5,50,4989.64,3.9338
2026-04-18T14:53:03.117144+00:00,5,100,4987.72,3.971
2026-04-18T14:53:05.780991+00:00,5,150,4957.48,4.5532
2026-04-18T14:53:08.408245+00:00,5,200,4813.48,7.3256
2026-04-18T14:53:11.019423+00:00,5,250,4785.31,7.8679
2026-04-18T14:53:13.685821+00:00,5,300,4735.81,8.8209
2026-04-18T14:53:24.112420+00:00,5,350,4751.49,8.5191
2026-04-18T14:53:26.645863+00:00,5,400,4674.7,9.9975
2026-04-18T14:53:29.136748+00:00,5,450,4450.37,14.3165
2026-04-18T14:53:31.674241+00:00,5,500,4346.45,16.3174
2026-04-18T14:53:34.325875+00:00,5,550,4335.47,16.5288
