timestamp,episode,step,equity,drawdown
2026-04-18T18:15:41.933330+00:00,1,50,10000.0,0.0
2026-04-18T18:15:42.896421+00:00,1,100,10000.0,0.0
2026-04-18T18:15:43.872965+00:00,1,150,10000.0,0.0
2026-04-18T18:15:44.850190+00:00,1,200,10000.0,0.0
2026-04-18T18:15:45.812151+00:00,1,250,10000.0,0.0
2026-04-18T18:15:46.769554+00:00,1,300,10000.0,0.0
2026-04-18T18:15:47.720176+00:00,1,350,10000.0,0.0
2026-04-18T18:15:48.685095+00:00,1,400,10000.0,0.0
2026-04-18T18:15:49.655356+00:00,1,450,10000.0,0.0
2026-04-18T18:15:50.635219+00:00,1,500,10000.0,0.0
2026-04-18T18:15:51.608972+00:00,1,550,10000.0,0.0
2026-04-18T18:15:52.608006+00:00,1,600,10000.0,0.0
2026-04-18T18:15:53.598825+00:00,1,650,10000.0,0.0
2026-04-18T18:15:54.557489+00:00,1,700,10000.0,0.0
2026-04-18T18:15:55.519335+00:00,1,750,10000.0,0.0
2026-04-18T18:15:56.460626+00:00,1,800,10000.0,0.0
2026-04-18T18:15:57.409383+00:00,1,850,10000.0,0.0
2026-04-18T18:15:58.364524+00:00,1,900,10000.0,0.0
2026-04-18T18:15:59.298494+00:00,1,950,10000.0,0.0
2026-04-18T18:16:00.232318+00:00,1,1000,10000.0,0.0
2026-04-18T18:16:01.197663+00:00,1,1050,10000.0,0.0
2026-04-18T18:16:02.112778+00:00,1,1100,10000.0,0.0
2026-04-18T18:16:03.020806+00:00,1,1150,10000.0,0.0
2026-04-18T18:16:03.964221+00:00,1,1200,10000.0,0.0
2026-04-18T18:16:04.910201+00:00,1,1250,10000.0,0.0
2026-04-18T18:16:05.849087+00:00,1,1300,10000.0,0.0
2026-04-18T18:16:06.801278+00:00,1,1350,10000.0,0.0
2026-04-18T18:16:07.743324+00:00,1,1400,10000.0,0.0
2026-04-18T18:16:08.708449+00:00,1,1450,10000.0,0.0
2026-04-18T18:16:09.685560+00:00,1,1500,10000.0,0.0
2026-04-18T18:16:10.652850+00:00,1,1550,10000.0,0.0
2026-04-18T18:16:11.620179+00:00,1,1600,10000.0,0.0
2026-04-18T18:16:12.593863+00:00,1,1650,10000.0,0.0
2026-04-18T18:16:13.569030+00:00,1,1700,10000.0,0.0
2026-04-18T18:16:14.530058+00:00,1,1750,10000.0,0.0
2026-04-18T18:16:15.518247+00:00,1,1800,10000.0,0.0
2026-04-18T18:16:16.483767+00:00,1,1850,10000.0,0.0
